LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
17m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
16m         Normal    WaitForFirstConsumer     persistentvolumeclaim/hive-metastore-db-data     waiting for first consumer to be created before binding
16m         Normal    ProvisioningSucceeded    persistentvolumeclaim/hive-metastore-db-data     Successfully provisioned volume pvc-f8dad6e1-cb63-11e9-a85b-0698e01dcbf2 using kubernetes.io/aws-ebs
145m        Normal    SuccessfulCreate         statefulset/hive-metastore                       create Pod hive-metastore-0 in StatefulSet hive-metastore successful
80m         Normal    SuccessfulCreate         statefulset/hive-metastore                       create Pod hive-metastore-0 in StatefulSet hive-metastore successful
36m         Normal    SuccessfulDelete         statefulset/hive-metastore                       delete Pod hive-metastore-0 in StatefulSet hive-metastore successful
16m         Normal    SuccessfulCreate         statefulset/hive-metastore                       create Pod hive-metastore-0 in StatefulSet hive-metastore successful
144m        Normal    Killing                  pod/hive-server-0                                Stopping container hiveserver2
140m        Warning   FailedMount              pod/hive-server-0                                MountVolume.SetUp failed for volume "hive-config" : stat /var/lib/kubelet/pods/9f0cc9b7-ca87-11e9-a248-0698e01dcbf2/volumes/kubernetes.io~configmap/hive-config: no such file or directory
140m        Warning   FailedMount              pod/hive-server-0                                MountVolume.SetUp failed for volume "hive-scripts" : stat /var/lib/kubelet/pods/9f0cc9b7-ca87-11e9-a248-0698e01dcbf2/volumes/kubernetes.io~configmap/hive-scripts: no such file or directory
140m        Warning   FailedMount              pod/hive-server-0                                MountVolume.SetUp failed for volume "hdfs-config" : stat /var/lib/kubelet/pods/9f0cc9b7-ca87-11e9-a248-0698e01dcbf2/volumes/kubernetes.io~configmap/hdfs-config: no such file or directory
140m        Normal    TaintManagerEviction     pod/hive-server-0                                Cancelling deletion of Pod openshift-metering/hive-server-0
140m        Normal    Scheduled                pod/hive-server-0                                Successfully assigned openshift-metering/hive-server-0 to ip-10-0-156-35.us-west-2.compute.internal
134m        Normal    Pulling                  pod/hive-server-0                                Pulling image "quay.io/openshift/origin-metering-hive:4.1"
134m        Normal    Pulled                   pod/hive-server-0                                Successfully pulled image "quay.io/openshift/origin-metering-hive:4.1"
134m        Normal    Created                  pod/hive-server-0                                Created container hiveserver2
140m        Normal    Started                  pod/hive-server-0                                Started container hiveserver2
80m         Warning   Unhealthy                pod/hive-server-0                                Readiness probe failed: dial tcp 10.129.2.71:10000: connect: connection refused
134m        Warning   Unhealthy                pod/hive-server-0                                Liveness probe failed: dial tcp 10.129.2.71:10000: connect: connection refused
134m        Normal    Killing                  pod/hive-server-0                                Container hiveserver2 failed liveness probe, will be restarted
